meeting,dir,from,to,raw_count,weight_raw,weight_split,edge_key
#92,in,ITU-R WP5A (src),RAN,3,3.0,3.0,in|||ITU-R WP5A (src)|||RAN
#92,in,ITU-R WP7C (src),RAN,1,1.0,1.0,in|||ITU-R WP7C (src)|||RAN
#92,in,RAN1 (src),RAN,1,1.0,1.0,in|||RAN1 (src)|||RAN
#92,in,RAN2 (src),RAN,2,2.0,2.0,in|||RAN2 (src)|||RAN
#92,in,RAN3 (src),RAN,4,4.0,4.0,in|||RAN3 (src)|||RAN
#92,in,RAN4 (src),RAN,6,6.0,6.0,in|||RAN4 (src)|||RAN
#92,in,Regional Commonwealth in the field of Communication (RCC) (src),RAN,1,1.0,1.0,in|||Regional Commonwealth in the field of Communication (RCC) (src)|||RAN
#92,in,SA (src),RAN,2,2.0,2.0,in|||SA (src)|||RAN
#92,in,SA1 (src),RAN,1,1.0,1.0,in|||SA1 (src)|||RAN
#92,in,SA2 (src),RAN,1,1.0,1.0,in|||SA2 (src)|||RAN
#92,in,SMPTE (src),RAN,1,1.0,1.0,in|||SMPTE (src)|||RAN
#92,out,RAN,CT (dst),3,3.0,1.5,out|||RAN|||CT (dst)
#92,out,RAN,GSMA (dst),1,1.0,1.0,out|||RAN|||GSMA (dst)
